#time[ms]	cost	improvement[%]	duration[ms]	improver_class_name
5592	777553197	26.759900915327457	2	MipFastModel
5677	777551597	26.760051624190833	4	MipFastModel
5697	777551397	26.760070462798755	1	MipFastModel
5786	777550997	26.7601081400146	2	MipFastModel
5792	777550796	26.76012707281556	0	HillClimber
5883	777550795	26.7601271670086	1	MipFastModel
5892	777550594	26.760146099809564	0	HillClimber
5453	777550494	26.760155519113525	1	MipFastModel
5616	777550194	26.760183777025407	2	MipFastModel
5626	777550193	26.760183871218448	0	HillClimber
5638	777549993	26.76020270982637	2	MipFastModel
6367	777549793	26.76022154843429	1	MipFastModel
6561	777548493	26.760343999385785	3	MipFastModel
6679	777548492	26.760344093578826	1	MipFastModel
6792	777548292	26.760362932186748	2	MipFastModel
6799	777548291	26.76036302637979	0	HillClimber
6806	777548191	26.76037244568375	0	HillClimber
7200	777548091	26.76038186498771	1	MipFastModel
7294	777548090	26.760381959180748	1	MipFastModel
7406	777548089	26.76038205337379	1	MipFastModel
7416	777547988	26.76039156687079	0	HillClimber
7452	777547588	26.760429244086634	2	MipFastModel
7460	777547585	26.760429526665753	0	HillClimber
7470	777547584	26.760429620858794	0	HillClimber
8533	777547583	26.76042971505183	1	MipFastModel
8538	777547582	26.760429809244872	0	HillClimber
8816	777547581	26.76042990343791	1	MipFastModel
9014	777547580	26.76042999763095	2	MipFastModel
9147	777547379	26.760448930431913	1	MipFastModel
9151	777547279	26.760458349735874	0	HillClimber
9413	777547179	26.760467769039835	1	MipFastModel
9972	777546979	26.760486607647756	1	MipFastModel
10578	777546978	26.760486701840797	1	MipFastModel
12214	777546977	26.760486796033835	1	MipFastModel
12267	777546976	26.760486890226876	1	MipFastModel
15869	777546975	26.760486984419916	1	MipFastModel
17937	777546973	26.760487172805995	0	MipFastModel
22041	777546972	26.760487266999036	1	MipFastModel
